trial,subject,condition,joint,channel,rmse_full,rmse_single,delta_rmse,r2_full,r2_single,delta_r2
AB03_Ilseung::LG_1p6mps,AB03_Ilseung,LG_1p6mps,knee,knee_angle_r,0.0949717496,0.1178739711,0.0229022215,0.9270799173000001,0.8962744557000001,-0.030805461599999973
AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA_0p8mps,knee,knee_angle_r,0.07913993970000001,0.10808020360000001,0.0289402639,0.9437728066000001,0.8861400309,-0.05763277570000003
AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD_0p8mps,knee,knee_angle_r,0.0807824739,0.1038135053,0.0230310314,0.9589016202,0.9161037586,-0.04279786159999999
AB04_Changseob::LG_0p8mps,AB04_Changseob,LG_0p8mps,knee,knee_angle_r,0.1112662339,0.16477948620000002,0.05351325230000002,0.7583282130000001,0.5595000956,-0.19882811740000006
AB04_Changseob::LG_1p2mps,AB04_Changseob,LG_1p2mps,knee,knee_angle_r,0.0564371851,0.1492398787,0.09280269359999999,0.9605180054,0.7993380721000001,-0.1611799332999999
AB04_Changseob::LG_1p6mps,AB04_Changseob,LG_1p6mps,knee,knee_angle_r,0.0665785795,0.1442056991,0.0776271196,0.970097877,0.9187227902,-0.051375086800000025
AB04_Changseob::RA_0p8mps,AB04_Changseob,RA_0p8mps,knee,knee_angle_r,0.1786795856,0.1715560422,-0.0071235433999999875,0.8050517571,0.7959968889,-0.00905486820000001
AB04_Changseob::RD_0p8mps,AB04_Changseob,RD_0p8mps,knee,knee_angle_r,0.1690105079,0.2001134196,0.031102911700000013,0.9099995776,0.8829558867,-0.027043690900000028
AB05_Maria::LG_1p2mps,AB05_Maria,LG_1p2mps,knee,knee_angle_r,0.1480103852,0.1342542948,-0.013756090400000004,0.8265966294,0.8516605128,0.025063883399999987
AB05_Maria::LG_1p6mps,AB05_Maria,LG_1p6mps,knee,knee_angle_r,0.1585955601,0.1393174257,-0.019278134400000008,0.8822421658,0.9088332079,0.026591042099999962
AB05_Maria::RA_0p8mps,AB05_Maria,RA_0p8mps,knee,knee_angle_r,0.11650877820000001,0.1283907619,0.011881983700000001,0.8704557215000001,0.8623280353,-0.00812768620000004
AB05_Maria::RD_0p8mps,AB05_Maria,RD_0p8mps,knee,knee_angle_r,0.09174201850000001,0.1507407544,0.0589987359,0.892754445,0.8109695451000001,-0.08178489989999993
AB06_Jimin::LG_0p8mps,AB06_Jimin,LG_0p8mps,knee,knee_angle_r,0.13886948270000002,0.1420532145,0.003183731799999978,0.609855365,0.5777790629,-0.03207630210000001
AB06_Jimin::LG_1p2mps,AB06_Jimin,LG_1p2mps,knee,knee_angle_r,0.186193931,0.1165893063,-0.0696046247,0.7168014931000001,0.8947116666,0.17791017349999994
AB06_Jimin::LG_1p6mps,AB06_Jimin,LG_1p6mps,knee,knee_angle_r,0.163130789,0.13128817410000002,-0.03184261489999998,0.8376983376,0.9071284565000001,0.06943011890000006
AB06_Jimin::RA_0p8mps,AB06_Jimin,RA_0p8mps,knee,knee_angle_r,0.1839788251,0.19981946080000001,0.015840635700000022,0.6824746904,0.6585094895,-0.023965200899999983
AB06_Jimin::RD_0p8mps,AB06_Jimin,RD_0p8mps,knee,knee_angle_r,0.0902944956,0.10834157850000001,0.01804708290000001,0.9358575157000001,0.9276986131,-0.008158902600000073
AB07_Amy::LG_0p8mps,AB07_Amy,LG_0p8mps,knee,knee_angle_r,0.1039196631,0.10657562050000001,0.002655957400000006,0.5955170426,0.5962257448,0.0007087021999999665
AB07_Amy::LG_1p2mps,AB07_Amy,LG_1p2mps,knee,knee_angle_r,0.1260027283,0.12259031050000001,-0.0034124177999999977,0.7426615075,0.7491377632,0.006476255699999989
AB07_Amy::LG_1p6mps,AB07_Amy,LG_1p6mps,knee,knee_angle_r,0.10768032200000001,0.1335552743,0.02587495229999999,0.8785653096,0.8672805251,-0.011284784500000034
AB07_Amy::RA_0p8mps,AB07_Amy,RA_0p8mps,knee,knee_angle_r,0.11140689890000001,0.1684508686,0.05704396969999999,0.7876589872,0.6734804772,-0.11417851000000001
AB07_Amy::RD_0p8mps,AB07_Amy,RD_0p8mps,knee,knee_angle_r,0.09624907120000001,0.1604251751,0.0641761039,0.8690263880000001,0.7758151173000001,-0.09321127070000002
AB08_Seokhyun::LG_0p8mps,AB08_Seokhyun,LG_0p8mps,knee,knee_angle_r,0.0703375073,0.0791404394,0.008802932099999994,0.6801468019,0.5699016818,-0.11024512009999998
AB08_Seokhyun::LG_1p2mps,AB08_Seokhyun,LG_1p2mps,knee,knee_angle_r,0.0704399797,0.11251936750000001,0.04207938780000001,0.8170985254,0.6084942488,-0.20860427660000003
AB08_Seokhyun::LG_1p6mps,AB08_Seokhyun,LG_1p6mps,knee,knee_angle_r,0.0846265086,0.1281856329,0.043559124300000016,0.9113197150000001,0.8234100053000001,-0.0879097097
AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA_0p8mps,knee,knee_angle_r,0.1426879663,0.200922442,0.05823447570000001,0.6523483158000001,0.5551969969,-0.09715131890000006
AB08_Seokhyun::RD_0p8mps,AB08_Seokhyun,RD_0p8mps,knee,knee_angle_r,0.1177810463,0.1639118738,0.0461308275,0.8754011066,0.7534886344,-0.12191247220000001
