trial,channel,joint,subject,condition,rmse_full,r2_full,rmse_single,r2_single,delta_rmse,delta_r2,single_worse_rmse,single_worse_r2
AB04_Changseob::LG_0p8mps,hip_flexion_r,hip,AB04_Changseob,LG_0p8mps,0.0916696756,0.8055650071,0.0977154097,0.7790728173,0.006045734100000005,-0.02649218980000001,True,True
AB04_Changseob::LG_0p8mps,knee_angle_r,knee,AB04_Changseob,LG_0p8mps,0.1112662339,0.5234037475000001,0.16477948620000002,-0.0452739692,0.05351325230000002,-0.5686777167000001,True,True
AB04_Changseob::LG_0p8mps,ankle_angle_r,ankle,AB04_Changseob,LG_0p8mps,0.1113596479,0.9309853164,0.1525992847,0.8704042382,0.04123963680000001,-0.06058107820000003,True,True
AB04_Changseob::LG_0p8mps,hip_flexion_l,hip,AB04_Changseob,LG_0p8mps,0.1400115686,0.6622683713,0.1587211127,0.5659764541,0.018709544100000003,-0.09629191720000008,True,True
AB04_Changseob::LG_0p8mps,knee_angle_l,knee,AB04_Changseob,LG_0p8mps,0.14014410500000002,0.2068447638,0.1852960731,-0.3865673134,0.045151968099999995,-0.5934120772,True,True
AB04_Changseob::LG_0p8mps,ankle_angle_l,ankle,AB04_Changseob,LG_0p8mps,0.1808059371,0.7765195832,0.19008334670000002,0.7529969947,0.009277409600000008,-0.023522588499999997,True,True
AB04_Changseob::RA_0p8mps,hip_flexion_r,hip,AB04_Changseob,RA_0p8mps,0.2094656255,0.7162209115,0.2063681023,0.7245517582000001,-0.0030975232000000075,0.00833084670000006,False,False
AB04_Changseob::RA_0p8mps,knee_angle_r,knee,AB04_Changseob,RA_0p8mps,0.1786795856,0.572648476,0.1715560422,0.6060442707,-0.0071235433999999875,0.03339579469999998,False,False
AB04_Changseob::RA_0p8mps,ankle_angle_r,ankle,AB04_Changseob,RA_0p8mps,0.2026281268,0.7919171682,0.1853564395,0.8258786012,-0.017271687300000005,0.033961432999999985,False,False
AB04_Changseob::RA_0p8mps,hip_flexion_l,hip,AB04_Changseob,RA_0p8mps,0.1817487503,0.838840425,0.2185330522,0.7670045126,0.03678430189999998,-0.07183591239999998,True,True
AB04_Changseob::RA_0p8mps,knee_angle_l,knee,AB04_Changseob,RA_0p8mps,0.10951569800000001,0.8570047784,0.1215239221,0.8239271764,0.012008224099999992,-0.033077601999999984,True,True
