trial,subject,condition,channel,rmse_awinda_nmpkg,r2_awinda,rmse_vicon_nmpkg,r2_vicon,rmse_reduction_pct,r2_increase,corr_angle
AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA_0p8mps,hip_flexion_l,0.2761184041519286,0.8542150271400276,0.14638540836427785,0.9188120480495484,46.98455221994829,0.0645970209095208,0.9963408936195802
AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA_0p8mps,knee_angle_l,0.06838030872524854,0.9204719462448283,0.06015005220103597,0.9464515650240383,12.036003752603209,0.025979618779209956,0.9921660444916836
AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA_0p8mps,ankle_angle_l,0.10869475290405631,0.9706169863100883,0.09500207572211075,0.9784875797867308,12.597367228970045,0.00787059347664254,0.9474755540106811
AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD_0p8mps,hip_flexion_r,0.14248356706407045,0.7371869354636081,0.09771607371710359,0.8465406312813085,31.4194080548505,0.10935369581770038,0.9112149825101831
AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD_0p8mps,knee_angle_r,0.08078247401865839,0.9589016199148294,0.08297736484044183,0.95357952963954,-2.71703837799828,-0.005322090275289404,0.9931553216612792
AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD_0p8mps,ankle_angle_r,0.15579732217751407,0.9343538987377908,0.13313223965297005,0.9567981034668065,14.547799800255635,0.02244420472901565,0.9152214398334235
AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD_0p8mps,hip_flexion_l,0.10309941453725532,0.803087192139147,0.12091488825548549,0.7084439118555962,-17.279898046164448,-0.09464328028355085,0.9363088853826782
AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD_0p8mps,knee_angle_l,0.1022864888411208,0.9027110372446229,0.08576077820783172,0.9333319804784205,16.15629866712708,0.030620943233797604,0.9928854570721101
AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD_0p8mps,ankle_angle_l,0.17870135502087692,0.9311059677190832,0.15293382047828818,0.9391096807012415,14.419328012134223,0.008003712982158295,0.8650791439855917
AB04_Changseob::LG_0p8mps,AB04_Changseob,LG_0p8mps,hip_flexion_r,0.09166967566614335,0.8340291621797501,0.0712336877382882,0.8999232565677932,22.293073232070835,0.06589409438804306,0.9883315105857858
AB04_Changseob::LG_0p8mps,AB04_Changseob,LG_0p8mps,knee_angle_r,0.11126623388669031,0.7583282126963056,0.06307244071547201,0.8980196621226818,43.31394304250219,0.13969144942637624,0.994096305681831
