trial,trial_key,subject,task,condition,rmse_nmpkg,r2_nmpkg,offset_s,sync_method,platform,channel,source,lag_samples,xcorr_score,n_samples,speed_mps,rmse_vicon_oracle_nmpkg,r2_vicon_oracle_nmpkg,model_in_ang_rmse_deg,model_in_vel_rmse_deg_s,rmse_enc_vs_vicon_nmpkg,encoder_replay_excluded,encoder_correction_note,encoder_xcorr_lag_samples,encoder_offset_deg,encoder_peak_trough_applied,encoder_peak_trough_lag_med,encoder_angle_key
ab07_amy_knee_0p8mps_ra_exo_on,AB07_Amy::RA_0p8mps,AB07_Amy,RA,RA_0p8mps,0.1602775573075604,0.4404984601828275,-0.2300493679999999,,knee_exo_assisted,knee_angle_r,assisted,,,,0.8,0.1450377382955809,0.5418392366429077,7.68657666871533,48.71110645701136,0.1090044417587006,False,no LPF; logged raw vel; GT ID xcorr shift +4 samples,4.0,0.0,False,,model_in_knee_angle_raw
ab07_amy_knee_0p8mps_rd_exo_on,AB07_Amy::RD_0p8mps,AB07_Amy,RD,RD_0p8mps,0.1928916500041945,0.6213623149257173,-0.2340810600002296,,knee_exo_assisted,knee_angle_r,assisted,,,,0.8,0.1942215592444114,0.6161232114712127,8.650481038308488,60.935178927150936,0.1761680721736759,False,no LPF; logged raw vel; GT ID xcorr shift +3 samples,3.0,0.0,False,,model_in_knee_angle_raw
ab08_seokhyun_knee_0p8mps_ra_exo_on,AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA,RA_0p8mps,0.1461828448017446,0.6112495630524193,-0.1560405409998986,,knee_exo_assisted,knee_angle_r,assisted,,,,0.8,0.1379943418782725,0.6535818557759963,5.459718782254732,35.54405211886401,0.0594044853422635,False,no LPF; logged raw vel; GT ID xcorr shift +3 samples,3.0,0.0,False,,model_in_knee_angle_raw
ab08_seokhyun_knee_0p8mps_rd_exo_on,AB08_Seokhyun::RD_0p8mps,AB08_Seokhyun,RD,RD_0p8mps,0.2397788938969402,0.5724994673506449,-0.2330550400000519,,knee_exo_assisted,knee_angle_r,assisted,,,,0.8,0.1799672431373112,0.7591749367452758,7.54418206099153,67.38368991084539,0.1497901945978082,False,no LPF; logged raw vel; GT ID xcorr shift +4 samples,4.0,0.0,False,,model_in_knee_angle_raw
,AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA,RA_0p8mps,0.28258986070383535,-0.23500741704556516,,,awinda_knee_only_exo_model,knee_angle_r,unassisted,873.0,3.9759717506613015,6000.0,,,,,,,,,,,,,
,AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD,RD_0p8mps,0.27536817509854233,-0.0061136856980770204,,,awinda_knee_only_exo_model,knee_angle_r,unassisted,746.0,3.9183773658107195,6000.0,,,,,,,,,,,,,
,AB02_Oscar::RA_0p8mps,AB02_Oscar,RA,RA_0p8mps,0.37717582482778556,-0.2232797641017057,,,awinda_knee_only_exo_model,knee_angle_r,unassisted,297.0,3.9758547906909065,6000.0,,,,,,,,,,,,,
,AB02_Oscar::RD_0p8mps,AB02_Oscar,RD,RD_0p8mps,0.46966914950589694,-0.6503064733406867,,,awinda_knee_only_exo_model,knee_angle_r,unassisted,357.0,3.9342509859031773,6000.0,,,,,,,,,,,,,
,AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA,RA_0p8mps,0.2984497165603345,-0.026399680845751616,,,awinda_knee_only_exo_model,knee_angle_r,unassisted,332.0,3.9813098206964885,5576.0,,,,,,,,,,,,,
,AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD,RD_0p8mps,0.38603530160663024,-0.3203988360533212,,,awinda_knee_only_exo_model,knee_angle_r,unassisted,262.0,3.832458983776146,4748.0,,,,,,,,,,,,,
,AB04_Changseob::RA_0p8mps,AB04_Changseob,RA,RA_0p8mps,0.3478822405227684,-0.6224922540901214,,,awinda_knee_only_exo_model,knee_angle_r,unassisted,705.0,3.986868884446033,6000.0,,,,,,,,,,,,,
